('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         897813 function calls (873520 primitive calls) in 4.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      309    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      168    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      176    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       41    0.000    0.000    0.000    0.000 response.py:1162(_update_chunk_length)
       57    0.000    0.000    0.000    0.000 parser.py:124(set_cdata_mode)
    81/55    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.109    0.109 element.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
    30/17    0.000    0.000    0.111    0.007 {built-in method builtins.__import__}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.189    0.189 ssl.py:956(_create)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      378    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      519    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
      107    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      262    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
       66    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.207    0.207 connection.py:895(_ssl_wrap_socket_and_match_hostname)
       13    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        2    0.000    0.000    3.174    1.587 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.218    0.218 __init__.py:211(__init__)
        6    0.000    0.000    0.000    0.000 feedparser.py:100(push)
      648    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
